"Cycle" "Healthy" "Sick" "Dead"
11.4166666666667 0.013 0.065 0.922
11.5 0.013 0.064 0.923
11.5833333333333 0.013 0.064 0.923
11.6666666666667 0.013 0.064 0.923
11.75 0.013 0.062 0.925
11.8333333333333 0.013 0.061 0.926
11.9166666666667 0.012 0.06 0.928
12 0.012 0.057 0.931
12.0833333333333 0.012 0.054 0.934
12.1666666666667 0.012 0.054 0.934
12.25 0.012 0.051 0.937
12.3333333333333 0.012 0.051 0.937
12.4166666666667 0.012 0.051 0.937
12.5 0.01 0.05 0.94
12.5833333333333 0.01 0.048 0.942
12.6666666666667 0.01 0.048 0.942
12.75 0.009 0.047 0.944
12.8333333333333 0.009 0.045 0.946
12.9166666666667 0.009 0.043 0.948
13 0.009 0.043 0.948
13.0833333333333 0.009 0.043 0.948
13.1666666666667 0.009 0.042 0.949
13.25 0.009 0.041 0.95
13.3333333333333 0.009 0.04 0.951
13.4166666666667 0.009 0.036 0.955
13.5 0.009 0.036 0.955
13.5833333333333 0.008 0.037 0.955
13.6666666666667 0.008 0.037 0.955
13.75 0.007 0.036 0.957
13.8333333333333 0.007 0.036 0.957
13.9166666666667 0.006 0.034 0.96
14 0.006 0.034 0.96
14.0833333333333 0.005 0.033 0.962
14.1666666666667 0.005 0.033 0.962
14.25 0.005 0.033 0.962
14.3333333333333 0.005 0.031 0.964
14.4166666666667 0.004 0.03 0.966
14.5 0.004 0.03 0.966
14.5833333333333 0.004 0.03 0.966
14.6666666666667 0.004 0.029 0.967
14.75 0.004 0.028 0.968
14.8333333333333 0.004 0.027 0.969
14.9166666666667 0.004 0.026 0.97
15 0.004 0.026 0.97
15.0833333333333 0.003 0.026 0.971
15.1666666666667 0.003 0.026 0.971
15.25 0.003 0.026 0.971
15.3333333333333 0.003 0.026 0.971
15.4166666666667 0.003 0.026 0.971
15.5 0.002 0.026 0.972
15.5833333333333 0.002 0.026 0.972
15.6666666666667 0.002 0.026 0.972
15.75 0.002 0.026 0.972
15.8333333333333 0.002 0.026 0.972
15.9166666666667 0.002 0.026 0.972
16 0.001 0.026 0.973
16.0833333333333 0.001 0.026 0.973
16.1666666666667 0.001 0.025 0.974
16.25 0.001 0.025 0.974
16.3333333333333 0.001 0.025 0.974
16.4166666666667 0.001 0.024 0.975
16.5 0.001 0.024 0.975
16.5833333333333 0.001 0.024 0.975
16.6666666666667 0.001 0.023 0.976
16.75 0.001 0.022 0.977
16.8333333333333 0.001 0.022 0.977
16.9166666666667 0.001 0.021 0.978
17 0.001 0.021 0.978
17.0833333333333 0.001 0.021 0.978
17.1666666666667 0.001 0.021 0.978
17.25 0.001 0.02 0.979
17.3333333333333 0.001 0.02 0.979
17.4166666666667 0.001 0.02 0.979
17.5 0.001 0.02 0.979
17.5833333333333 0.001 0.02 0.979
17.6666666666667 0.001 0.019 0.98
17.75 0.001 0.019 0.98
17.8333333333333 0.001 0.018 0.981
17.9166666666667 0.001 0.018 0.981
18 0.001 0.018 0.981
18.0833333333333 0.001 0.018 0.981
18.1666666666667 0.001 0.018 0.981
18.25 0.001 0.017 0.982
18.3333333333333 0.001 0.017 0.982
18.4166666666667 0.001 0.017 0.982
18.5 0.001 0.016 0.983
18.5833333333333 0.001 0.016 0.983
18.6666666666667 0.001 0.016 0.983
18.75 0.001 0.015 0.984
18.8333333333333 0.001 0.015 0.984
18.9166666666667 0.001 0.015 0.984
19 0.001 0.014 0.985
19.0833333333333 0.001 0.014 0.985
19.1666666666667 0.001 0.014 0.985
19.25 0.001 0.013 0.986
19.3333333333333 0.001 0.013 0.986
19.4166666666667 0.001 0.013 0.986
19.5 0.001 0.013 0.986
19.5833333333333 0.001 0.012 0.987
19.6666666666667 0.001 0.011 0.988
19.75 0.001 0.011 0.988
19.8333333333333 0.001 0.011 0.988
19.9166666666667 0 0.01 0.99
20 0 0.01 0.99
20.0833333333333 0 0.01 0.99
20.1666666666667 0 0.01 0.99
20.25 0 0.01 0.99
20.3333333333333 0 0.01 0.99
20.4166666666667 0 0.01 0.99
20.5 0 0.01 0.99
20.5833333333333 0 0.01 0.99
20.6666666666667 0 0.01 0.99
20.75 0 0.01 0.99
20.8333333333333 0 0.01 0.99
20.9166666666667 0 0.01 0.99
21 0 0.01 0.99
21.0833333333333 0 0.01 0.99
21.1666666666667 0 0.01 0.99
21.25 0 0.009 0.991
21.3333333333333 0 0.007 0.993
21.4166666666667 0 0.007 0.993
21.5 0 0.007 0.993
21.5833333333333 0 0.007 0.993
21.6666666666667 0 0.007 0.993
21.75 0 0.007 0.993
21.8333333333333 0 0.005 0.995
21.9166666666667 0 0.005 0.995
22 0 0.004 0.996
22.0833333333333 0 0.003 0.997
22.1666666666667 0 0.003 0.997
22.25 0 0.003 0.997
22.3333333333333 0 0.003 0.997
22.4166666666667 0 0.003 0.997
22.5 0 0.003 0.997
22.5833333333333 0 0.003 0.997
22.6666666666667 0 0.003 0.997
22.75 0 0.003 0.997
22.8333333333333 0 0.003 0.997
22.9166666666667 0 0.003 0.997
23 0 0.003 0.997
23.0833333333333 0 0.003 0.997
23.1666666666667 0 0.003 0.997
23.25 0 0.003 0.997
23.3333333333333 0 0.003 0.997
23.4166666666667 0 0.003 0.997
23.5 0 0.003 0.997
23.5833333333333 0 0.003 0.997
23.6666666666667 0 0.003 0.997
23.75 0 0.003 0.997
23.8333333333333 0 0.003 0.997
23.9166666666667 0 0.003 0.997
24 0 0.003 0.997
24.0833333333333 0 0.003 0.997
24.1666666666667 0 0.003 0.997
24.25 0 0.003 0.997
24.3333333333333 0 0.003 0.997
24.4166666666667 0 0.003 0.997
24.5 0 0.003 0.997
24.5833333333333 0 0.003 0.997
24.6666666666667 0 0.003 0.997
24.75 0 0.003 0.997
24.8333333333333 0 0.003 0.997
24.9166666666667 0 0.003 0.997
25 0 0.003 0.997
25.0833333333333 0 0.003 0.997
25.1666666666667 0 0.003 0.997
25.25 0 0.003 0.997
25.3333333333333 0 0.003 0.997
25.4166666666667 0 0.003 0.997
25.5 0 0.003 0.997
25.5833333333333 0 0.003 0.997
25.6666666666667 0 0.003 0.997
25.75 0 0.003 0.997
25.8333333333333 0 0.003 0.997
25.9166666666667 0 0.003 0.997
26 0 0.003 0.997
26.0833333333333 0 0.003 0.997
26.1666666666667 0 0.003 0.997
26.25 0 0.003 0.997
26.3333333333333 0 0.003 0.997
26.4166666666667 0 0.003 0.997
26.5 0 0.003 0.997
26.5833333333333 0 0.003 0.997
26.6666666666667 0 0.003 0.997
26.75 0 0.003 0.997
26.8333333333333 0 0.003 0.997
26.9166666666667 0 0.003 0.997
27 0 0.003 0.997
27.0833333333333 0 0.002 0.998
27.1666666666667 0 0.002 0.998
27.25 0 0.002 0.998
27.3333333333333 0 0.002 0.998
27.4166666666667 0 0.002 0.998
27.5 0 0.002 0.998
27.5833333333333 0 0.002 0.998
27.6666666666667 0 0.002 0.998
27.75 0 0.002 0.998
27.8333333333333 0 0.002 0.998
27.9166666666667 0 0.002 0.998
28 0 0.002 0.998
28.0833333333333 0 0.002 0.998
28.1666666666667 0 0.002 0.998
28.25 0 0.002 0.998
28.3333333333333 0 0.002 0.998
28.4166666666667 0 0.002 0.998
28.5 0 0.002 0.998
28.5833333333333 0 0.002 0.998
28.6666666666667 0 0.002 0.998
28.75 0 0.002 0.998
28.8333333333333 0 0.001 0.999
28.9166666666667 0 0.001 0.999
29 0 0.001 0.999
29.0833333333333 0 0.001 0.999
29.1666666666667 0 0.001 0.999
29.25 0 0.001 0.999
29.3333333333333 0 0.001 0.999
29.4166666666667 0 0.001 0.999
29.5 0 0.001 0.999
29.5833333333333 0 0.001 0.999
29.6666666666667 0 0.001 0.999
29.75 0 0.001 0.999
29.8333333333333 0 0.001 0.999
29.9166666666667 0 0.001 0.999
30 0 0.001 0.999
